iteration,best_score,best_thresholds,pop_min,pop_max,pop_mean,pop_std,time_ms,a,pop_size
39,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-459996.53444576345,498400.6303368186,20.84946632385254,1.025,100
40,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-489996.7293137791,499903.1959117576,20.886898040771484,1.0,100
41,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-519996.9102414862,499603.05579451006,20.75815200805664,0.9750000000000001,100
42,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-529996.987540266,499102.3875093786,20.8590030670166,0.95,100
43,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-529996.9760473168,499102.39971388696,24.218082427978516,0.925,100
44,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-519996.93174425943,499603.0334137289,25.928258895874023,0.8999999999999999,100
45,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-569997.2282111389,495078.94304796436,19.43039894104004,0.875,100
46,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-559997.1701819169,496390.13830499817,24.879932403564453,0.8500000000000001,100
47,6.540842184813795,"[25, 84, 120, 127, 171, 182, 219]",-1000000.0,6.540842184813795,-549997.1000169286,497496.9246052326,29.905080795288086,0.825,100
48,6.542331156230598,"[25, 84, 120, 127, 172, 183, 221]",-1000000.0,6.542331156230598,-549997.101468743,497496.9230001937,21.43716812133789,0.8,100
49,6.545064757282662,"[25, 83, 120, 127, 170, 181, 217]",-1000000.0,6.545064757282662,-549997.1115222167,497496.9118856549,38.706064224243164,0.7749999999999999,100
50,6.545064757282662,"[25, 83, 120, 127, 170, 181, 217]",-1000000.0,6.545064757282662,-519996.91323782207,499603.052675815,26.844263076782227,0.75,100
51,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-539997.0409507023,498400.6378241555,23.01502227783203,0.7250000000000001,100
52,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-499996.78924192034,500003.21075808676,22.592544555664062,0.7,100
53,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-449996.44798154733,497496.9314748953,20.821332931518555,0.675,100
54,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-479996.6346305391,499603.07321426924,20.817995071411133,0.6499999999999999,100
55,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-479996.63585512235,499603.0720377265,26.009798049926758,0.625,100
56,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-419996.25666305027,493561.692611158,30.332088470458984,0.6000000000000001,100
57,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-549997.0868180629,497496.9391971241,20.356178283691406,0.575,100
58,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-479996.6333723581,499603.0744230901,27.74667739868164,0.55,100
59,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-519996.8921627074,499603.0746114878,50.225019454956055,0.5249999999999999,100
60,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-439996.3923309222,496390.1436964905,29.758691787719727,0.5,100
61,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-379995.99607805157,485389.5785763351,27.103900909423828,0.4750000000000001,100
62,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-469996.5661355125,499102.42219716636,23.15688133239746,0.44999999999999996,100
63,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-469996.5670688525,499102.4213182435,23.755311965942383,0.42500000000000004,100
64,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-419996.25177019124,493561.69677479885,18.644094467163086,0.3999999999999999,100
65,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-309995.54338632594,462496.23037318734,27.37283706665039,0.375,100
66,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.548475276828764,-359995.856366737,480003.1077249513,25.623321533203125,0.3500000000000001,100
67,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-349995.79478290305,476972.68649420264,26.645898818969727,0.32499999999999996,100
68,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-349995.7931301307,476972.6877070039,20.668506622314453,0.30000000000000004,100
69,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-249995.16479968294,433015.49349643494,26.900053024291992,0.2749999999999999,100
70,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-339995.73019735544,473711.83590363985,20.200490951538086,0.25,100
71,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-299995.464995417,458260.538352986,30.179500579833984,0.2250000000000001,100
72,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-279995.3390369548,449001.7930340146,22.894620895385742,0.19999999999999996,100
73,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-189994.75637160506,392303.4445238112,27.236461639404297,0.17500000000000004,100
74,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-239995.06484213777,427085.9034005566,25.9397029876709,0.1499999999999999,100
75,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-229995.00700277672,420835.2371013802,24.06620979309082,0.125,100
76,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-189994.75400728118,392303.4456689037,24.911880493164062,0.10000000000000009,100
77,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-169994.61320176325,375635.2373211912,26.804447174072266,0.07499999999999996,100
78,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-59993.873031236806,237488.3896923157,27.920246124267578,0.050000000000000044,100
79,6.561251869492812,"[25, 84, 121, 128, 171, 182, 219]",-1000000.0,6.561251869492812,-39993.73495502482,195960.45826960666,24.234294891357422,0.02499999999999991,100
