algo,thresholds,fe,time,psnr,ssim,dice
mfwoa_multitask_K2,"153,206",3.0155290371743035,0.3265,17.715478095313816,0.5421871578076466,0.679481745386228
mfwoa_multitask_K3,"151,182,217",3.714578935668352,0.3265,17.848552774453243,0.551911942544873,0.6982710918884736
mfwoa_multitask_K4,"51,130,161,184",4.41684562710163,0.3265,23.62166431619366,0.697665904634961,0.44133558457668587
mfwoa_multitask_K5,"51,130,161,184,212",5.172931655849218,0.3265,23.627205903373355,0.6979004829183483,0.44133558457668587
otsu_single,"53,80,104,128,160",4.990188493887654,137.0992,30.43441106302342,0.8122707216177213,0.44570407804229223
woa_single,"52,105,130,179,220",5.124627049735065,0.7423,26.78338531936906,0.7356069216077918,0.4434664183985165
pso_single,"22,83,128,159,204",5.1990388104645415,0.6413,25.46245134496349,0.7082819884021441,0.3605844576312011
