algo,thresholds,fe,time,psnr,ssim,dice
mfwoa_K2,"15,54",2.9184759687795183,0.9599,15.375512307179335,0.36782606575100585,0.4055729618025465
woa_K2,"19,54",2.91700721548025,0.7384,15.380754219972768,0.36831990215777594,0.40821940786714755
mfwoa_K3,"29,140,213",3.5393265304778643,0.6878,20.807253889015122,0.5351694323119238,0.4143496841639283
woa_K3,"39,76,214",3.5689004200022727,0.7379,20.21034924900119,0.5720372480838393,0.4199120006901907
mfwoa_K4,"31,80,203,218",4.218227613392807,0.8288,21.47782106426773,0.6241582014455725,0.41540352314625156
woa_K4,"44,79,205,224",4.208808914183335,0.9436,21.29966470558927,0.6154797400571522,0.4237358963643962
mfwoa_K5,"32,137,180,201,218",4.894203927316602,0.753,21.499238108682363,0.5767300431167592,0.41601422270846866
woa_K5,"36,135,166,197,216",4.908691118877948,0.8653,21.84741795660427,0.5999650588828146,0.4181371454098727
