algo,thresholds,fe,time,psnr,ssim,dice
mfwoa_multitask_K2,"153,180",2.9964080664509756,0.3025,17.766027952069397,0.5496084919927248,0.679481745386228
mfwoa_multitask_K3,"153,180,223",3.7125419302964415,0.3025,17.76646615701778,0.5499807912564632,0.679481745386228
mfwoa_multitask_K4,"50,129,180,207",4.447417261610737,0.3025,23.16426567168886,0.6746740946040355,0.43895751778343056
mfwoa_multitask_K5,"52,129,152,185,218",5.165139423849483,0.3025,23.858964358190637,0.7041232819131067,0.4434664183985165
otsu_single,"53,80,104,128,160",4.990188493887654,156.2333,30.43441106302342,0.8122707216177213,0.44570407804229223
woa_single,"51,130,161,184,215",5.176547200297691,0.8121,23.625749098849234,0.6978076386172797,0.44133558457668587
pso_single,"50,75,102,153,206",5.169519428873815,0.8702,28.022608133811076,0.7818742639677635,0.43895751778343056
