algo,thresholds,fe,time,psnr,ssim,dice
otsu,"40,81,111,149,201",0.48806073969183267,212.7091,27.451783671772517,0.8583812182235849,
mfwoa,"6,22,30,44,56",0.5519451398087636,1.0535,15.469793919645438,0.38758105984674057,
woa,"3,8,13,46,49",0.5546056211436676,1.1082,15.226567543921373,0.347618328925976,
ga,"7,58,75,219,244",0.5308690107826387,1.3489,19.574340730705266,0.5649678088536569,
pso,"33,40,49,54,252",0.5512228806368149,1.1136,15.759900468506489,0.3709735740582944,
fcm,"39,82,111,149,202",0.49027454707571405,0.0057,27.443274237363646,0.8576743839750569,
