algo,thresholds,fe,time,psnr,ssim,dice
otsu,"43,87,121,179",0.4855142080053924,4.1063,25.776588240105383,0.8270634973003643,
mfwoa,"5,42,46,50",0.552445787929442,0.1974,15.249379523713753,0.34963057527402114,
woa,"7,18,27,46",0.5558713670551992,0.2104,15.156632181939681,0.33752412431518125,
ga,"37,125,152,212",0.5030887202129548,0.2308,22.54726104266861,0.6791278942304492,
pso,"5,146,153,214",0.5234420093977868,0.2102,18.996741348187673,0.46108285428215445,
fcm,"42,87,120,179",0.4863580442835436,0.0075,25.772599652286342,0.8282111022231201,
