algo,thresholds,fe,time,psnr,ssim,dice
otsu_K2,"77,161",2.71629581666604,0.0237,21.526677540079113,0.6106297259412801,0.4860104247798215
mfwoa_K2,"15,54",2.9184759687795183,3.3376,15.375512307179335,0.36782606575100585,0.4055729618025465
woa_K2,"31,58",2.914347049806362,2.1849,15.524805516305545,0.38726490586208034,0.41540352314625156
otsu_K3,"53,102,169",3.4412993777579386,0.0614,23.94419672561364,0.7682479847525429,0.43277079295075843
mfwoa_K3,"31,76,214",3.575327703295781,2.3386,20.197258291125372,0.571257587566605,0.41540352314625156
woa_K3,"35,76,214",3.57449917177024,2.5641,20.20945660367548,0.5720360908657778,0.4175703500343171
otsu_K4,"43,87,121,179",4.05425876812382,5.2173,25.776588240105383,0.8270634973003643,0.42304349337690783
mfwoa_K4,"31,82,199,220",4.217542129551917,2.9612,21.932031667883205,0.6457218438078358,0.41540352314625156
woa_K4,"17,34,77,214",4.228565284887109,3.0155,20.31144473062861,0.5869271903811248,0.40702458605117914
otsu_K5,"40,81,111,149,201",4.782168666171885,249.5512,27.451783671772517,0.858381218223585,0.42065234300727705
mfwoa_K5,"15,56,97,179,216",4.875908086820808,2.6066,24.867670085617853,0.7827107811231219,0.4055729618025465
woa_K5,"29,138,171,201,236",4.9152826140528765,2.9633,21.337776916886725,0.5645420762226009,0.4143496841639283
