algo,thresholds,fe,time,psnr,ssim,dice
otsu,"43,87,121,179",4.202693642334549,4.1216,25.776588240105383,0.8270634973003643,
mfwoa,"7,24,29,49",4.807273917331674,2.0107,15.234778484867203,0.35015422907316057,
woa,"15,22,43,50",4.798335107697874,2.2768,15.261934112256995,0.35264170471586237,
ga,"7,36,55,252",4.808204210169691,1.9535,15.803084991653527,0.38224813270587804,
pso,"7,46,73,220",4.604363856676111,1.5198,19.353835371448746,0.5466964474143315,
fcm,"42,87,120,179",4.209998032813303,0.006,25.772599652286342,0.8282111022231201,
