algo,thresholds,fe,time,psnr,ssim,dice
otsu,"43,87,121,179",0.4855142080053924,4.8973,25.776588240105383,0.8270634973003643,
mfwoa,"8,17,29,49",0.5538708612434607,2.1473,15.235588425691253,0.3506667587094654,
woa,"7,22,37,50",0.5559533111968481,3.6055,15.264424791097937,0.35495032603930726,
ga,"5,146,165,214",0.5232554734991786,2.7022,19.06204645604095,0.4643179696931743,
pso,"5,146,163,214",0.5233337350517612,2.6505,19.056034175206193,0.46406664900360883,
fcm,"42,87,120,179",0.4863580442835436,0.0076,25.772599652286342,0.8282111022231201,
