algo,thresholds,fe,time,psnr,ssim,dice
mfwoa_K2,"15,54",2.9184759687795183,2.3573,15.375512307179335,0.36782606575100585,0.4055729618025465
woa_K2,"15,54",2.9184759687795183,2.1207,15.375512307179335,0.36782606575100585,0.4055729618025465
mfwoa_K3,"31,76,214",3.575327703295781,2.0876,20.197258291125372,0.571257587566605,0.41540352314625156
woa_K3,"37,76,214",3.572600225295015,2.1584,20.211271153089378,0.571976255828336,0.4186262535909036
mfwoa_K4,"31,138,181,238",4.248511543773938,2.3244,21.277496538232743,0.5619935061247023,0.41540352314625156
woa_K4,"21,142,183,236",4.233109774923882,2.763,20.50306491839202,0.5197655524437806,0.40961421934962633
mfwoa_K5,"17,44,137,180,236",4.908404271961013,2.5571,22.14820048947645,0.6066740041946277,0.40702458605117914
woa_K5,"49,120,153,186,237",4.867947604806602,2.7823,23.92720743809841,0.7437234415771632,0.42797601252132317
