algo,thresholds,fe,time,psnr,ssim,dice
otsu,"53,80,104,128,160",5.2397335374502365,119.6412,30.43441106302342,0.8122707216177213,
mfwoa,"23,83,126,174,227",-1000000.0,2.3207,25.18488910110069,0.6937615889676654,
woa,"23,82,129,176,225",5.364469624581676,2.3779,25.146537207280545,0.695760861229328,
pso,"26,66,106,151,206",5.253711995074234,2.3309,26.82190231294217,0.7277542592264077,
